nome,codigocliente,cpf,idadecliente
1,1,10000001,30
2,2,10000002,25
3,3,10000003,40
4,4,10000004,22
5,5,10000005,35
6,6,10000006,28
7,7,10000007,45
8,8,10000008,31
9,9,10000009,50
10,10,10000010,27
11,11,10000011,33
12,12,10000012,29
13,13,10000013,38
14,14,10000014,42
15,15,10000015,26
16,16,10000016,24
17,17,10000017,31
18,18,10000018,48
19,19,10000019,39
20,20,10000020,36
21,21,10000021,41
22,22,10000022,32
23,23,10000023,29
24,24,10000024,44
25,25,10000025,37
26,26,10000026,21
27,27,10000027,52
28,28,10000028,46
29,29,10000029,55
30,30,10000030,34
